,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.11060589551925659,4,Sub,Hull,Swansea,2,1,2017-03-11,3417,2016,132658,0,0,0,0,0.11060589551925659,0.11060589551925659,0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,161.0,0.0,0.0,276.0,1.0,1.0,0.0,1.9,16381.0,2.0,0.0,2017-03-11T15:00:00Z,11 Mar 15:00,0.0,0.0,9.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,8883.0,0.0,0.0,0.0,1.0,2.0,17.0,1.0,-48.0,112.0,160.0,44.0,True,0.0,0.0
1,0,0,0,21,Sub,Hull,Burnley,1,1,2017-02-25,3394,2016,131691,0,0,0,0,0,0,0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,1.8,0.0,0.0,161.0,0.0,0.0,254.0,0.0,1.0,0.0,0.2,15192.0,0.4,0.0,2017-02-25T15:00:00Z,25 Feb 15:00,0.0,0.0,24.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,8974.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-144.0,110.0,254.0,44.0,True,0.0,0.0
2,0,0,0,8,Sub,Hull,Liverpool,2,0,2017-02-04,3373,2016,129625,0,0,0,0,0,0,0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.3,0.0,0.0,161.0,0.0,0.0,234.0,0.0,0.0,0.0,0.3,13921.0,2.2,0.0,2017-02-04T15:00:00Z,04 Feb 15:00,0.0,0.0,11.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,9208.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-22.0,143.0,165.0,44.0,True,0.0,0.0
3,0,0,0,90,DR,Manchester United,Hull,0,0,2017-02-01,3368,2016,132328,0,0,0,0,0,0,0,0.0,35.0,0.0,0.0,0.0,12.0,1.0,5.0,25.0,1.4,1.0,0.0,161.0,0.0,0.0,229.0,2.0,0.0,0.0,1.4,13278.0,12.6,0.0,2017-02-01T20:00:00Z,01 Feb 20:00,0.0,0.0,90.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,8.0,0.0,23.0,0.0,9218.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-129.0,137.0,266.0,44.0,False,0.0,1.0
4,0,1,0.01861349493265152,70,Sub,Chelsea,Hull,2,0,2017-01-22,3359,2016,131481,0,0,0,0,0.01861349493265152,0.07967984676361084,0.06106634810566902,0.0,66.0,0.0,0.0,0.0,14.0,0.0,2.0,57.0,5.4,0.0,0.0,161.0,0.0,0.0,213.0,1.0,2.0,0.0,2.5,12644.0,12.4,0.0,2017-01-22T16:30:00Z,22 Jan 16:30,0.0,0.0,70.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,22.0,0.0,9323.0,1.0,2.0,0.0,0.0,2.0,7.0,2.0,-575.0,26.0,601.0,44.0,False,0.0,0.0
5,0,0,0,58,MC,Hull,Everton,2,2,2016-12-31,3155,2016,130333,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,15,Sub,Tottenham,Hull,3,0,2016-12-15,3134,2016,131509,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,8,Sub,Middlesbrough,Hull,1,0,2016-12-06,3114,2016,128669,0,0,0,0,0,0.02085465006530285,0.02085465006530285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,1,Sub,Hull,West Bromwich Albion,1,1,2016-11-26,2708,2016,129262,0,0,0,0,0,0,0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.3,0.0,0.0,161.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,7100.0,0.0,0.0,2016-11-26T15:00:00Z,26 Nov 15:00,0.0,0.0,3.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,12958.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,-632.0,84.0,716.0,45.0,True,0.0,0.0
9,0,1,0.04516291245818138,9,Sub,Sunderland,Hull,3,0,2016-11-19,2700,2016,128696,0,0,0,0,0.04516291245818138,0.04516291245818138,0.04516291245818138,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,1.5,0.0,0.0,161.0,0.0,0.0,117.0,0.0,1.0,0.0,2.0,6499.0,0.6,0.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,13.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,13576.0,0.0,0.0,0.0,0.0,3.0,18.0,1.0,-685.0,249.0,934.0,45.0,False,0.0,0.0
10,0,0,0,11,Sub,Watford,Hull,1,0,2016-10-29,2679,2016,127872,0,0,0,0,0,0,0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.3,0.0,0.0,161.0,0.0,0.0,99.0,0.0,1.0,0.0,0.3,5302.0,2.0,0.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,13.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15068.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-651.0,397.0,1048.0,45.0,False,0.0,0.0
