,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,90,GK,Stoke,Liverpool,0,3,2017-11-29,7258,2017,179367,0,0,0,0,0,0,0,0.0,32.0,0.0,0.0,0.0,20.0,0.0,0.0,22.0,0.0,0.0,0.0,329.0,0.0,0.0,140.0,0.0,3.0,0.0,2.9,7465.0,29.4,0.0,2017-11-29T20:00:00Z,29 Nov 20:00,0.0,0.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,14.0,4.0,16394.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,95.0,517.0,422.0,43.0,True,0.0,0.0
1,0,0,0,90,GK,Crystal Palace,Stoke,2,1,2017-11-25,7246,2017,179188,0,0,0,0,0,0,0,0.0,20.0,0.0,0.0,0.0,14.0,0.0,0.0,10.0,0.0,0.0,0.0,329.0,0.0,0.0,121.0,0.0,2.0,0.0,2.5,6895.0,25.4,0.0,2017-11-25T15:00:00Z,25 Nov 15:00,0.0,0.0,90.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,13.0,3.0,16217.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,321.0,757.0,436.0,43.0,False,0.0,0.0
2,0,0,0,90,GK,Brighton,Stoke,2,2,2017-11-20,7238,2017,179740,0,0,0,0,0,0,0,0.0,26.0,0.0,0.0,0.0,10.0,0.0,0.0,13.0,0.0,0.0,0.0,329.0,0.0,0.0,113.0,0.0,2.0,0.0,0.9,6326.0,9.4,0.0,2017-11-20T20:00:00Z,20 Nov 20:00,0.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,12.0,1.0,15814.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,283.0,911.0,628.0,43.0,False,0.0,0.0
3,0,0,0,90,GK,Stoke,Hull,3,1,2017-04-15,3463,2016,134814,0,0,0,0,0,0.11944573372602463,0.11944573372602463,0.0,32.0,0.0,0.0,0.0,12.0,0.0,1.0,16.0,0.0,0.0,0.0,574.0,0.0,0.0,326.0,0.0,1.0,0.0,2.2,19764.0,21.6,0.0,2017-04-15T14:00:00Z,15 Apr 15:00,0.0,0.0,90.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,33.0,2.0,422254.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,11376.0,17145.0,5769.0,44.0,True,0.0,0.0
4,0,0,0,90,GK,Stoke,Liverpool,1,2,2017-04-08,3451,2016,133574,0,0,0,0,0,0,0,0.0,27.0,0.0,0.0,0.0,15.0,0.0,3.0,16.0,0.0,0.0,0.0,574.0,0.0,0.0,316.0,0.0,2.0,0.0,1.8,19102.0,17.8,0.0,2017-04-08T14:00:00Z,08 Apr 15:00,0.0,0.0,90.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,7.0,0.0,32.0,2.0,410119.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,248.0,6296.0,6048.0,44.0,True,0.0,0.0
5,0,0,0,90,GK,Burnley,Stoke,1,0,2017-04-04,3441,2016,133424,0,0,0,0,0,0,0,0.0,27.0,0.0,0.0,0.0,12.0,0.0,1.0,18.0,0.0,0.0,0.0,574.0,0.0,0.0,302.0,0.0,1.0,0.0,1.5,18441.0,14.6,0.0,2017-04-04T18:45:00Z,04 Apr 19:45,0.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,31.0,2.0,409544.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1931.0,5122.0,3191.0,44.0,False,0.0,0.0
6,0,0,0,90,GK,Leicester,Stoke,2,0,2017-04-01,3434,2016,132688,0,0,0,0,0,0.5002408623695374,0.5002408623695374,0.0,34.0,0.0,0.0,0.0,25.0,0.0,1.0,22.0,0.0,0.0,0.0,574.0,0.0,0.0,295.0,0.0,2.0,0.0,4.7,17784.0,47.0,0.0,2017-04-01T14:00:00Z,01 Apr 15:00,0.0,0.0,90.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,0.0,30.0,8.0,407324.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,7184.0,12959.0,5775.0,44.0,False,0.0,0.0
7,0,0,0,90,GK,Stoke,Chelsea,1,2,2017-03-18,3424,2016,133602,0,0,0,0,0,0,0,0.0,36.0,0.0,0.0,0.0,17.0,0.0,0.0,14.0,0.0,0.0,0.0,574.0,0.0,0.0,286.0,0.0,2.0,0.0,3.0,17130.0,29.6,0.0,2017-03-18T15:00:00Z,18 Mar 15:00,0.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,29.0,5.0,399065.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,6231.0,11795.0,5564.0,44.0,True,0.0,0.0
8,0,0,0,90,GK,Manchester City,Stoke,0,0,2017-03-08,3418,2016,132742,0,0,0,0,0,0.07924780249595642,0.07924780249595642,0.0,32.0,0.0,0.0,0.0,23.0,1.0,0.0,16.0,0.0,0.0,0.0,574.0,0.0,0.0,277.0,0.0,0.0,0.0,0.6,16217.0,5.6,0.0,2017-03-08T20:00:00Z,08 Mar 20:00,0.0,0.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0,27.0,1.0,393121.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14155.0,19512.0,5357.0,44.0,False,0.0,0.0
9,0,0,0,90,GK,Stoke,Middlesbrough,2,0,2017-03-04,3403,2016,133000,0,0,0,0,0,0.054188091307878494,0.054188091307878494,0.0,38.0,0.0,0.0,1.0,25.0,1.0,0.0,25.0,0.0,0.0,0.0,574.0,0.0,0.0,264.0,0.0,0.0,0.0,2.0,16216.0,20.2,0.0,2017-03-04T15:00:00Z,04 Mar 15:00,0.0,0.0,90.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0,27.0,2.0,393121.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,14155.0,19512.0,5357.0,44.0,True,0.0,0.0
10,0,0,0,90,GK,Tottenham,Stoke,4,0,2017-02-26,3397,2016,132000,0,0,0,0,0,0,0,0.0,35.0,0.0,0.0,0.0,19.0,0.0,2.0,15.0,0.0,0.0,0.0,574.0,0.0,0.0,258.0,0.0,4.0,0.0,3.2,15522.0,32.4,0.0,2017-02-26T13:30:00Z,26 Feb 13:30,0.0,0.0,90.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,6.0,0.0,26.0,5.0,377889.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2080.0,10278.0,8198.0,44.0,False,0.0,0.0
11,0,0,0,90,GK,Stoke,Crystal Palace,1,0,2017-02-11,3383,2016,131041,0,0,0,0,0,0.13040389120578766,0.13040389120578766,0.0,32.0,0.0,0.0,1.0,23.0,1.0,0.0,21.0,0.0,0.0,0.0,574.0,0.0,0.0,247.0,0.0,0.0,0.0,1.0,14983.0,10.0,0.0,2017-02-11T15:00:00Z,11 Feb 15:00,0.0,0.0,90.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,25.0,1.0,374564.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,5391.0,14309.0,8918.0,44.0,True,0.0,0.0
12,0,0,0,90,GK,West Bromwich Albion,Stoke,1,0,2017-02-04,3375,2016,130285,0,0,0,0,0,0.35785016417503357,0.35785016417503357,0.0,36.0,0.0,0.0,0.0,17.0,0.0,1.0,27.0,0.0,0.0,0.0,574.0,0.0,0.0,240.0,0.0,1.0,0.0,1.5,14334.0,15.0,0.0,2017-02-04T15:00:00Z,04 Feb 15:00,0.0,0.0,90.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,10.0,0.0,24.0,3.0,368126.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2807.0,9725.0,6918.0,44.0,False,0.0,0.0
13,0,0,0,90,GK,Stoke,Everton,1,1,2017-02-01,3369,2016,129225,0,0,0,0,0,0.5862253308296204,0.5862253308296204,0.0,30.0,0.0,0.0,1.0,20.0,0.0,1.0,12.0,0.0,0.0,0.0,574.0,0.0,0.0,230.0,0.0,1.0,0.0,3.5,13691.0,34.8,0.0,2017-02-01T20:00:00Z,01 Feb 20:00,0.0,0.0,90.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,13.0,0.0,23.0,5.0,364878.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,8028.0,15753.0,7725.0,44.0,True,0.0,0.0
14,0,0,0,90,GK,Stoke,Manchester United,1,1,2017-01-21,3354,2016,131958,0,0,0,0,0,0,0,0.0,38.0,0.0,0.0,0.0,21.0,0.0,3.0,24.0,0.0,0.0,0.0,574.0,0.0,0.0,219.0,0.0,1.0,0.0,4.6,13057.0,46.0,0.0,2017-01-21T15:00:00Z,21 Jan 15:00,0.0,0.0,90.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,22.0,7.0,355516.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,-609.0,13667.0,14276.0,44.0,True,0.0,1.0
15,0,0,0,90,GK,Sunderland,Stoke,1,3,2017-01-14,3342,2016,130749,0,0,0,0,0,0.13371224701404572,0.13371224701404572,0.0,35.0,0.0,0.0,0.0,15.0,0.0,1.0,26.0,0.0,0.0,0.0,574.0,0.0,0.0,206.0,0.0,1.0,0.0,2.0,12426.0,19.6,0.0,2017-01-14T15:00:00Z,14 Jan 15:00,0.0,0.0,90.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,21.0,2.0,355242.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,45770.0,62218.0,16448.0,44.0,False,0.0,0.0
16,0,0,0,90,GK,Stoke,Watford,2,0,2017-01-04,3338,2016,129642,0,0,0,0,0,0.1060771718621254,0.1060771718621254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,90,GK,Chelsea,Stoke,4,2,2016-12-31,3158,2016,130232,0,0,0,0,0,0,0,0.0,30.0,0.0,0.0,0.0,15.0,0.0,4.0,14.0,0.0,0.0,0.0,574.0,0.0,0.0,183.0,0.0,4.0,0.0,2.8,11180.0,27.8,0.0,2016-12-31T15:00:00Z,31 Dec 15:00,0.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,3.0,264099.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,19067.0,25287.0,6220.0,43.0,False,0.0,0.0
18,0,0,0,90,GK,Liverpool,Stoke,4,1,2016-12-27,3153,2016,129461,0,0,0,0,0,0.025363830849528313,0.025363830849528313,0.0,34.0,0.0,0.0,0.0,13.0,0.0,0.0,22.0,0.0,0.0,0.0,574.0,0.0,0.0,176.0,0.0,4.0,0.0,1.4,10562.0,14.0,0.0,2016-12-27T17:15:00Z,27 Dec 17:15,0.0,0.0,90.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,18.0,2.0,243213.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,12812.0,18666.0,5854.0,43.0,False,0.0,0.0
19,0,0,0,90,GK,Stoke,Leicester,2,2,2016-12-17,3138,2016,128618,0,0,0,0,0,0.13213606178760529,0.13213606178760529,0.0,14.0,0.0,0.0,0.0,22.0,0.0,1.0,10.0,0.0,0.0,0.0,574.0,0.0,0.0,166.0,0.0,2.0,0.0,4.1,9946.0,41.4,0.0,2016-12-17T15:00:00Z,17 Dec 15:00,0.0,0.0,90.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,14.0,0.0,17.0,6.0,225803.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,30241.0,31651.0,1410.0,43.0,True,0.0,0.0
20,0,0,0,90,GK,Stoke,Southampton,0,0,2016-12-15,3133,2016,131402,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,0,90,GK,Arsenal,Stoke,3,1,2016-12-10,3118,2016,129489,0,0,0,0,0,0,0,0.0,28.0,0.0,0.0,0.0,14.0,0.0,1.0,15.0,0.0,0.0,0.0,574.0,0.0,0.0,141.0,0.0,3.0,0.0,2.2,8722.0,22.0,0.0,2016-12-10T15:00:00Z,10 Dec 15:00,0.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,15.0,3.0,171865.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,28042.0,31302.0,3260.0,42.0,False,0.0,0.0
22,0,0,0,90,GK,Stoke,Burnley,2,0,2016-12-03,3107,2016,128726,0,0,0,0,0,0.28716546297073364,0.28716546297073364,0.0,40.0,0.0,0.0,1.0,30.0,1.0,2.0,25.0,0.0,0.0,0.0,574.0,0.0,0.0,136.0,0.0,0.0,0.0,2.9,8117.0,28.6,0.0,2016-12-03T15:00:00Z,03 Dec 15:00,0.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,14.0,4.0,139494.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,22016.0,23231.0,1215.0,41.0,True,0.0,0.0
23,0,0,0,90,GK,Watford,Stoke,0,1,2016-11-27,2713,2016,128305,0,0,0,0,0,0.017983559519052505,0.017983559519052505,0.0,32.0,0.0,0.0,1.0,25.0,1.0,3.0,14.0,0.0,0.0,0.0,574.0,0.0,0.0,130.0,0.0,0.0,0.0,1.0,7513.0,9.6,0.0,2016-11-27T12:00:00Z,27 Nov 12:00,0.0,0.0,90.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,8.0,0.0,13.0,2.0,116034.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,5130.0,7396.0,2266.0,41.0,False,0.0,0.0
24,0,0,0,90,GK,Stoke,Bournemouth,0,1,2016-11-19,2699,2016,128591,0,0,0,0,0,0.043310169130563736,0.043310169130563736,0.0,32.0,0.0,0.0,0.0,13.0,0.0,0.0,25.0,0.0,0.0,0.0,574.0,0.0,0.0,116.0,0.0,1.0,0.0,1.1,6912.0,10.6,0.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,90.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,12.0,1.0,110326.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,14043.0,16068.0,2025.0,41.0,True,0.0,0.0
25,0,0,0,90,GK,West Ham,Stoke,1,1,2016-11-05,2690,2016,128221,0,0,0,0,0,0.2834585905075073,0.2834585905075073,0.0,35.0,0.0,0.0,0.0,13.0,0.0,1.0,21.0,0.0,0.0,0.0,574.0,0.0,0.0,110.0,0.0,1.0,0.0,1.5,6313.0,15.0,0.0,2016-11-05T15:00:00Z,05 Nov 15:00,0.0,0.0,90.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,2.0,94293.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,10691.0,12964.0,2273.0,41.0,False,0.0,0.0
26,0,0,0,90,GK,Stoke,Swansea,3,1,2016-11-01,2686,2016,127764,0,0,0,0,0,0.10876453667879105,0.10876453667879105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,0,90,GK,Hull,Stoke,0,2,2016-10-22,545,2016,127197,0,0,0,0,0,0.32597237825393677,0.32597237825393677,0.0,35.0,0.0,0.0,0.0,25.0,1.0,2.0,20.0,0.0,0.0,0.0,574.0,0.0,0.0,85.0,0.0,0.0,0.0,1.5,5121.0,15.0,0.0,2016-10-22T14:00:00Z,22 Oct 15:00,0.0,0.0,90.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,2.0,57416.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,22493.0,23367.0,874.0,40.0,False,0.0,0.0
28,0,0,0,90,GK,Stoke,Sunderland,2,0,2016-10-15,535,2016,126912,0,0,0,0,0,0.13329175114631653,0.13329175114631653,0.0,25.0,0.0,0.0,0.0,23.0,1.0,1.0,14.0,0.0,0.0,0.0,574.0,0.0,0.0,79.0,0.0,0.0,0.0,0.8,4529.0,8.2,0.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,90.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,8.0,1.0,32985.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,20881.0,21951.0,1070.0,40.0,True,0.0,0.0
29,0,0,0,90,GK,Manchester United,Stoke,1,1,2016-10-02,527,2016,127223,0,0,0,0,0,0,0,0.0,29.0,0.0,0.0,1.0,24.0,0.0,1.0,16.0,0.0,0.0,0.0,574.0,0.0,0.0,65.0,0.0,1.0,0.0,5.9,3940.0,59.0,0.0,2016-10-02T11:00:00Z,02 Oct 12:00,0.0,0.0,90.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,8.0,8564.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,4034.0,4546.0,512.0,40.0,False,0.0,0.0
30,0,0,0,90,GK,Stoke,West Bromwich Albion,1,1,2016-09-24,513,2016,126689,0,0,0,0,0,0.3382233679294586,0.3382233679294586,0.0,28.0,0.0,0.0,0.0,13.0,0.0,0.0,16.0,0.0,0.0,0.0,574.0,0.0,0.0,56.0,0.0,1.0,0.0,1.4,3354.0,14.0,0.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,90.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,2.0,3232.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,668.0,878.0,210.0,40.0,True,0.0,0.0
31,,,,,,,,,,2017-08-12,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,2017-08-12T14:00:00Z,12 Aug 15:00,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28603.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,False,0.0,0.0
32,,,,,,,,,,2017-08-19,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,840.0,0.0,0.0,2017-08-19T16:30:00Z,19 Aug 17:30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26905.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2817.0,110.0,2927.0,45.0,True,0.0,0.0
33,,,,,,,,,,2017-08-27,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1356.0,0.0,0.0,2017-08-27T12:30:00Z,27 Aug 13:30,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,24219.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-3000.0,122.0,3122.0,45.0,False,0.0,0.0
34,,,,,,,,,,2017-09-09,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,1887.0,0.0,0.0,2017-09-09T16:30:00Z,09 Sep 17:30,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,22308.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,-2197.0,117.0,2314.0,44.0,True,0.0,0.0
35,,,,,,,,,,2017-09-16,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,2431.0,0.0,0.0,2017-09-16T14:00:00Z,16 Sep 15:00,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20860.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,-1627.0,156.0,1783.0,44.0,False,0.0,0.0
36,,,,,,,,,,2017-09-23,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,2977.0,0.0,0.0,2017-09-23T14:00:00Z,23 Sep 15:00,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,19337.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-1670.0,113.0,1783.0,44.0,True,0.0,0.0
37,,,,,,,,,,2017-09-30,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,3527.0,0.0,0.0,2017-09-30T14:00:00Z,30 Sep 15:00,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,18203.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,-1235.0,92.0,1327.0,44.0,True,0.0,0.0
38,,,,,,,,,,2017-10-14,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,4081.0,0.0,0.0,2017-10-14T14:00:00Z,14 Oct 15:00,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,17281.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,-1007.0,99.0,1106.0,43.0,False,0.0,0.0
39,,,,,,,,,,2017-10-21,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,4638.0,0.0,0.0,2017-10-21T14:00:00Z,21 Oct 15:00,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,16702.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,-631.0,90.0,721.0,43.0,True,0.0,0.0
40,,,,,,,,,,2017-10-28,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,5197.0,0.0,0.0,2017-10-28T14:00:00Z,28 Oct 15:00,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,16035.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-719.0,70.0,789.0,43.0,False,0.0,0.0
41,,,,,,,,,,2017-11-04,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,5760.0,0.0,0.0,2017-11-04T12:30:00Z,04 Nov 12:30,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,15455.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,-605.0,56.0,661.0,43.0,True,0.0,0.0
42,,,,,,,,,,2017-12-02,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,8036.0,0.0,0.0,2017-12-02T15:00:00Z,02 Dec 15:00,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,20006.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3303.0,3810.0,507.0,43.0,True,0.0,0.0
43,,,,,,,,,,2017-12-09,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,8610.0,0.0,0.0,2017-12-09T15:00:00Z,09 Dec 15:00,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,17720.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,-2392.0,213.0,2605.0,43.0,False,0.0,0.0
44,,,,,,,,,,2017-12-12,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,9187.0,0.0,0.0,2017-12-12T19:45:00Z,12 Dec 19:45,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,16879.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-887.0,79.0,966.0,43.0,False,0.0,0.0
45,,,,,,,,,,2017-12-16,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,9765.0,0.0,0.0,2017-12-16T16:00:00Z,16 Dec 16:00,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,16246.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-670.0,45.0,715.0,43.0,True,0.0,0.0
46,,,,,,,,,,2017-12-23,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,10345.0,0.0,0.0,2017-12-23T15:00:00Z,23 Dec 15:00,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,15702.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,-592.0,75.0,667.0,43.0,True,0.0,0.0
47,,,,,,,,,,2017-12-26,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,10930.0,0.0,0.0,2017-12-26T15:00:00Z,26 Dec 15:00,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,15369.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-368.0,62.0,430.0,42.0,False,0.0,0.0
48,,,,,,,,,,2017-12-30,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,11516.0,0.0,0.0,2017-12-30T15:00:00Z,30 Dec 15:00,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,15143.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,-288.0,234.0,522.0,42.0,False,0.0,0.0
