,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,id_y,key_passes_y,kickoff_time_formatted,loaned_in,loaned_out,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
0,0,1,0.018586253747344017,90,DMC,Chelsea,Wolverhampton Wanderers,3,0,2022-10-08,18295,2022,554154,0,0,0,0,0.018586253747344017,0.7648491859436035,0.7462629675865173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,62,DMC,Crystal Palace,Chelsea,1,2,2022-10-01,18284,2022,552291,0,0,0,0,0,0.09025929868221283,0.09025929868221283,0.0,0.0,0.0,0.0,0.0,22.0,81.0,0.0,0.0,0.0,0.0,2022-10-01T11:30:00Z,0.0,18.0,0.0,0.0,0.0,0.0,9.0,0.0,11979.0,1.0,3.0,0.0,0.0,-589.0,0.0,589.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,5,Sub,Chelsea,West Ham,2,1,2022-09-03,18260,2022,547258,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,69,MC,Southampton,Chelsea,2,1,2022-08-30,18244,2022,545966,0,0,0,0,0,0.2673119008541107,0.2673119008541107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,78,MC,Chelsea,Leicester,2,1,2022-08-27,18235,2022,544496,0,0,0,0,0,1.2140121459960938,1.2140121459960938,0.0,0.0,0.0,0.0,0.0,22.0,31.0,0.0,0.0,0.0,0.0,2022-08-27T16:30:00Z,0.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,18037.0,1.0,2.0,0.0,0.0,-5145.0,0.0,5145.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,66,MC,Leeds,Chelsea,3,0,2022-08-21,18228,2022,543092,0,0,0,0,0,0.027706939727067947,0.027706939727067947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1,0.0480823889374733,76,MC,Chelsea,Tottenham,2,2,2022-08-14,18220,2022,541413,0.13062193989753723,0,2,0,0.0480823889374733,0.2804517447948456,0.10174742341041565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,1,0.7611688375473022,90,MC,Everton,Chelsea,0,1,2022-08-06,18208,2022,539628,0.06218760460615158,0,1,0,0,0.5497860908508301,0.4875985085964203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,90,MC,Chelsea,Leicester,1,1,2022-05-19,16639,2021,536837,0.10897058993577957,0,4,0,0,0.7245330214500427,0.6809543371200562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,90,MC,Leeds,Chelsea,0,3,2022-05-11,16703,2021,534763,0.09310144186019897,0,2,0,0,0.7387809753417969,0.6456795334815979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,48,MC,Everton,Chelsea,1,0,2022-05-01,16724,2021,531062,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18.0,349.0,0.0,0.0,0.0,0.0,2022-05-01T15:30:00Z,0.0,19.0,0.0,0.0,0.0,0.0,35.0,0.0,10823.0,2.0,1.0,0.0,0.0,-22.0,0.0,22.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
11,0,1,0.014628099277615547,90,MC,Manchester United,Chelsea,1,1,2022-04-28,16742,2021,530007,0.09636140614748001,0,1,0,0.014628099277615547,1.5465995073318481,1.5465995073318481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,1,0.7611688375473022,90,MC,Chelsea,West Ham,1,0,2022-04-24,16711,2021,529356,0.03984906151890755,0,2,0,0,0.481292188167572,0.44144314527511597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,90,MC,Chelsea,Newcastle United,1,0,2022-03-13,16659,2021,519899,0.40699344873428345,1,1,0,0,0.8505350351333618,0.8505350351333618,0.0,0.0,0.0,0.0,0.0,18.0,281.0,0.0,0.0,0.0,0.0,2022-03-13T16:30:00Z,0.0,9.0,0.0,0.0,0.0,0.0,29.0,0.0,10980.0,0.0,2.0,0.0,0.0,-51.0,0.0,51.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,90,MC,Norwich,Chelsea,1,3,2022-03-10,16672,2021,518988,0,0,0,0,0,0.8326602578163147,0.8326602578163147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,1,0.02504492737352848,90,MC,Burnley,Chelsea,0,4,2022-03-05,16647,2021,517541,0.02765834517776966,0,2,0,0.02504492737352848,0.26040056347846985,0.21935029327869415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,77,MC,Crystal Palace,Chelsea,0,1,2022-02-19,16629,2021,514224,0,0,0,0,0,0.03088097646832466,0.03088097646832466,0.0,0.0,0.0,0.0,0.0,18.0,251.0,0.0,0.0,0.0,0.0,2022-02-19T15:00:00Z,0.0,3.0,0.0,0.0,0.0,0.0,26.0,0.0,11120.0,1.0,2.0,0.0,0.0,-62.0,0.0,62.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,76,DMC,Chelsea,Tottenham,2,0,2022-01-23,16598,2021,510550,0.028608210384845734,0,1,0,0,0.245791956782341,0.245791956782341,0.0,0.0,0.0,0.0,0.0,18.0,221.0,0.0,0.0,0.0,0.0,2022-01-23T14:00:00Z,0.0,5.0,0.0,0.0,0.0,0.0,23.0,0.0,11330.0,0.0,0.0,0.0,0.0,-105.0,0.0,105.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
18,0,1,0.053450241684913635,81,DMC,Brighton,Chelsea,1,1,2022-01-18,16607,2021,508933,0,0,0,0,0.053450241684913635,0.2235594242811203,0.17010918259620667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,15,Sub,Chelsea,Liverpool,2,2,2022-01-02,16578,2021,505716,0,0,0,0,0,0.02280173823237419,0.02280173823237419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,90,MC,Chelsea,Brighton,1,1,2021-12-29,16568,2021,505348,0,0,0,0,0,0.12269233167171478,0.12269233167171478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,2,1.5223376750946045,90,MC,Aston Villa,Chelsea,1,3,2021-12-26,16556,2021,505167,0.2917229235172272,0,1,0,0,0.5519823431968689,0.5519823431968689,0.0,0.0,0.0,0.0,0.0,18.0,187.0,0.0,0.0,0.0,0.0,2021-12-26T15:00:00Z,0.0,15.0,0.0,0.0,0.0,0.0,19.0,0.0,11716.0,5.0,0.0,0.0,0.0,-153.0,0.0,153.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
22,0,1,0.29209232330322266,90,MC,Chelsea,Everton,1,1,2021-12-16,16543,2021,503334,0.3566390872001648,0,1,0,0.29209232330322266,1.1701171398162842,1.1701171398162842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,2,1.5223376750946045,90,MC,Chelsea,Leeds,3,2,2021-12-11,16530,2021,501674,0.31209638714790344,0,1,0,0,0.48677584528923035,0.48677584528923035,0.0,0.0,0.0,0.0,0.0,18.0,151.0,0.0,0.0,0.0,0.0,2021-12-11T15:00:00Z,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,12184.0,0.0,3.0,0.0,0.0,-205.0,0.0,205.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
24,0,2,0.08670390397310257,90,MC,West Ham,Chelsea,3,2,2021-12-04,16524,2021,499632,0.05885227397084236,0,1,0,0.08670390397310257,0.6145779490470886,0.4690217673778534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,1,0.7611688375473022,90,MC,Chelsea,Manchester United,1,1,2021-11-28,16500,2021,498283,0.025072289630770683,0,1,0,0,0.21044181287288666,0.18536953628063202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0,0,79,MC,Leicester,Chelsea,0,3,2021-11-20,16488,2021,495390,0.6045093536376953,0,2,0,0,1.3074893951416016,1.0117262601852417,0.0,0.0,0.0,0.0,0.0,18.0,114.0,0.0,0.0,0.0,0.0,2021-11-20T17:30:00Z,0.0,11.0,0.0,0.0,0.0,0.0,12.0,0.0,12918.0,0.0,4.0,0.0,0.0,-328.0,0.0,328.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
27,0,2,0.09323979914188385,90,MC,Chelsea,Burnley,1,1,2021-11-06,16479,2021,493971,0.021950574591755867,0,1,0,0.09323979914188385,1.1929694414138794,1.1734288930892944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,2,0.7810890674591064,90,MC,Newcastle United,Chelsea,0,3,2021-10-30,16471,2021,492231,0,0,0,0,0.01992020756006241,0.46811428666114807,0.44819408655166626,0.0,0.0,0.0,0.0,0.0,18.0,93.0,0.0,0.0,0.0,0.0,2021-10-30T11:30:00Z,0.0,9.0,0.0,0.0,0.0,0.0,10.0,0.0,13561.0,2.0,0.0,0.0,0.0,-599.0,0.0,599.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
29,0,0,0,65,MC,Chelsea,Norwich,7,0,2021-10-23,16459,2021,489669,0.12062129378318787,1,2,0,0,0.643930196762085,0.5233088731765747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,0,14,Sub,Chelsea,Southampton,3,1,2021-10-02,16438,2021,486473,0,0,0,0,0,0.6552271246910095,0.6552271246910095,0.0,0.0,0.0,0.0,0.0,18.0,61.0,0.0,0.0,0.0,0.0,2021-10-02T16:30:00Z,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,15370.0,0.0,0.0,0.0,0.0,-1007.0,0.0,1007.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
31,0,0,0,78,MC,Chelsea,Manchester City,0,1,2021-09-25,16426,2021,484400,0,0,0,0,0,0.033909332007169724,0.033909332007169724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,0,0,90,MC,Tottenham,Chelsea,0,3,2021-09-19,16425,2021,482936,0.09255616366863251,0,1,0,0,1.0259743928909302,1.0259743928909302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,0,0,42,Sub,Chelsea,Aston Villa,3,0,2021-09-11,16413,2021,480533,0.020457498729228973,0,1,0,0,0.1692291647195816,0.1692291647195816,0.0,0.0,0.0,0.0,0.0,18.0,31.0,0.0,0.0,0.0,0.0,2021-09-11T14:00:00Z,0.0,15.0,0.0,0.0,0.0,0.0,4.0,0.0,20775.0,0.0,1.0,0.0,0.0,-8816.0,0.0,8816.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
34,0,0,0,90,MC,Liverpool,Chelsea,1,1,2021-08-28,16402,2021,479076,0,0,0,0,0,0.23591488599777222,0.23591488599777222,0.0,0.0,0.0,0.0,0.0,18.0,24.0,0.0,0.0,0.0,0.0,2021-08-28T11:30:00Z,0.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,29757.0,0.0,5.0,0.0,0.0,-5987.0,2398.0,8385.0,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
35,0,0,0,90,MC,Arsenal,Chelsea,0,2,2021-08-22,16394,2021,477848,0.11089363694190979,0,1,0,0,1.130103349685669,1.0192097425460815,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,2021-08-22T15:30:00Z,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,34649.0,2.0,0.0,0.0,0.0,-2279.0,3894.0,6173.0,45.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
36,0,0,0,90,MC,Chelsea,Crystal Palace,3,0,2021-08-14,16379,2021,475478,0.07581831514835358,0,1,0,0,0.2245621383190155,0.2245621383190155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,0,0,62,MC,Aston Villa,Chelsea,2,1,2021-05-23,14806,2020,473273,0.39441683888435364,0,2,0,0,0.8435957431793213,0.8435957431793213,0.0,0.0,0.0,0.0,0.0,19.0,369.0,0.0,0.0,0.0,0.0,2021-05-23T15:00:00Z,0.0,3.0,0.0,0.0,0.0,0.0,38.0,0.0,6270.0,0.0,2.0,0.0,0.0,-5.0,0.0,5.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
38,1,1,0.7611688375473022,90,MC,Chelsea,Leicester,2,1,2021-05-18,14797,2020,472412,0.1264689415693283,0,2,0,0,0.8848670125007629,0.7705573439598083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,0,0,90,MC,Chelsea,Arsenal,0,1,2021-05-12,14790,2020,470413,0.06933048367500305,0,2,0,0,0.3446305990219116,0.2880620062351227,0.0,0.0,0.0,0.0,0.0,19.0,354.0,0.0,0.0,0.0,0.0,2021-05-12T19:15:00Z,0.0,5.0,0.0,0.0,0.0,0.0,35.0,0.0,6286.0,1.0,0.0,0.0,0.0,-5.0,0.0,5.0,47.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
40,0,0,0,19,Sub,Manchester City,Chelsea,1,2,2021-05-08,14781,2020,468864,0,0,0,0,0,0.14040224254131317,0.14040224254131317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,0,0,90,MC,West Ham,Chelsea,0,1,2021-04-24,14763,2020,465584,0,0,0,0,0,0.1767110675573349,0.1767110675573349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,0,0,90,MC,Chelsea,Brighton,0,0,2021-04-20,14747,2020,464160,0.09649591892957687,0,1,0,0,0.23296554386615753,0.23296554386615753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,0,0,62,MC,Crystal Palace,Chelsea,1,4,2021-04-10,14737,2020,461413,0.3927839696407318,0,1,0,0,1.2918988466262817,1.2918988466262817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,0,0,77,MC,Chelsea,West Bromwich Albion,2,5,2021-04-03,14727,2020,459163,0.04206940531730652,0,1,0,0,0.5248146653175354,0.5248146653175354,0.0,0.0,0.0,0.0,0.0,19.0,289.0,0.0,0.0,0.0,0.0,2021-04-03T19:00:00Z,0.0,11.0,0.0,0.0,0.0,0.0,30.0,0.0,6320.0,3.0,0.0,0.0,0.0,-12.0,0.0,12.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
45,0,0,0,90,DMC,Leeds,Chelsea,0,0,2021-03-13,14709,2020,456108,0,0,0,0,0,0.24867872893810272,0.24867872893810272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,3,0.7934677600860596,90,MC,Chelsea,Everton,2,0,2021-03-08,14698,2020,455552,0.02567523717880249,0,1,0,0.03229890763759613,0.2133990228176117,0.2133990228176117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,0,0,90,MC,Liverpool,Chelsea,0,1,2021-03-04,14719,2020,454270,0,0,0,0,0,0.5722990036010742,0.5722990036010742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,0,0,11,Sub,Southampton,Chelsea,1,1,2021-02-20,14682,2020,450515,0,0,0,0,0,0.08272937685251236,0.08272937685251236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,0,0,90,MC,Chelsea,Newcastle United,2,0,2021-02-15,14667,2020,450111,0,0,0,0,0,1.0079389810562134,1.0079389810562134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,1,0.7611688375473022,90,MC,Sheffield United,Chelsea,1,2,2021-02-07,14662,2020,448545,0.022387219592928886,0,1,0,0,0.6819977760314941,0.6819977760314941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,1,0.7611688375473022,90,MC,Tottenham,Chelsea,0,1,2021-02-04,14653,2020,447261,0.17223235964775085,0,2,0,0,0.22932037711143494,0.05708802491426468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,0,0,90,MC,Chelsea,Burnley,2,0,2021-01-31,14637,2020,446005,0.3342106342315674,0,4,0,0,1.1010404825210571,1.0829060077667236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,0,0,90,DMC,Chelsea,Wolverhampton Wanderers,0,0,2021-01-27,14630,2020,445068,0.07229657471179962,0,1,0,0,0.4400217831134796,0.3677251935005188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,0,0,66,MC,Fulham,Chelsea,0,1,2021-01-16,14617,2020,442437,0.014327002689242363,0,1,0,0,0.19118322432041168,0.17685621976852417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,0,0,74,MC,Chelsea,Aston Villa,1,1,2020-12-28,14586,2020,438355,0,0,0,0,0,0.2178063839673996,0.2178063839673996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,1,0.7610946297645569,43,Sub,Arsenal,Chelsea,3,1,2020-12-26,14575,2020,438154,0.04073387756943703,0,1,0,0,0.1948067545890808,0.1540728658437729,0.0,0.0,0.0,0.0,0.0,19.0,139.0,0.0,0.0,0.0,0.0,2020-12-26T17:30:00Z,0.0,5.0,0.0,0.0,0.0,0.0,15.0,0.0,6806.0,1.0,3.0,0.0,0.0,-108.0,6.0,114.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
57,0,1,0.01615251414477825,69,MC,Chelsea,West Ham,3,0,2020-12-21,14567,2020,437111,0,0,0,0,0.01615251414477825,0.3930636942386627,0.3769111633300781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,0,0,17,Sub,Chelsea,Sheffield United,4,1,2020-11-07,14507,2020,426498,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0,0,0,3,Sub,Burnley,Chelsea,0,3,2020-10-31,14496,2020,424517,0,0,0,0,0,0.04103732109069824,0.04103732109069824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0,1,0.014690064825117588,90,MC,Manchester United,Chelsea,0,0,2020-10-24,14491,2020,423111,0,0,0,0,0.014690064825117588,0.05556850880384445,0.05556850880384445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0,0,0,90,DMC,Chelsea,Southampton,3,3,2020-10-17,14475,2020,421129,0,0,0,0,0,0.7073220014572144,0.7073220014572144,0.0,0.0,0.0,0.0,0.0,19.0,44.0,0.0,0.0,0.0,0.0,2020-10-17T16:30:00Z,0.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,10324.0,0.0,1.0,0.0,0.0,-3038.0,318.0,3356.0,48.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
62,2,3,1.5814415216445923,90,DMC,Chelsea,Crystal Palace,4,0,2020-10-03,14467,2020,419253,0.12150272727012634,0,2,0,0.059103842824697495,0.28673043847084045,0.28673043847084045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0,1,0.7611688375473022,80,MC,Chelsea,Liverpool,0,2,2020-09-20,14102,2020,427499,0,0,0,0,0,0.012458120472729206,0.012458120472729206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,1,0.7611688375473022,89,DMC,Brighton,Chelsea,1,3,2020-09-14,14095,2020,415377,0.029938191175460815,1,2,0,0,0.26644277572631836,0.26644277572631836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0,0,0,90,MC,Chelsea,Wolverhampton Wanderers,2,0,2020-07-26,12021,2019,411267,0,0,0,0,0,0.23854534327983856,0.23854534327983856,0.0,0.0,2.0,0.0,1.6,19.0,371.0,0.0,0.0,0.1,0.0,2020-07-26T15:00:00Z,18.0,18.0,0.0,0.0,0.0,0.0,47.0,0.0,78754.0,2.0,3.0,0.0,1.0,-213.0,167.0,380.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
66,0,0,0,90,MC,Liverpool,Chelsea,5,3,2020-07-22,12006,2019,410858,0.02194082923233509,0,1,0,0,1.03018319606781,1.0082423686981201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0,0,0,90,MC,Chelsea,Norwich,1,0,2020-07-14,11995,2019,408476,0,0,0,0,0,1.3963998556137085,1.3963998556137085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,0,0,90,MC,Sheffield United,Chelsea,3,0,2020-07-11,11989,2019,407522,0,0,0,0,0,0.3385770320892334,0.3385770320892334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0,0,0,6,Sub,Crystal Palace,Chelsea,2,3,2020-07-07,11977,2019,406267,0,0,0,0,0,0.2011273354291916,0.2011273354291916,0.0,0.0,3.0,0.0,0.3,19.0,331.0,1.0,0.0,0.3,2.4,2020-07-07T19:15:00Z,10.0,9.0,0.0,0.0,0.0,0.0,43.0,0.0,79634.0,1.0,1.0,0.0,1.0,-348.0,139.0,487.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
70,0,0,0,65,MC,Bournemouth,Chelsea,2,2,2020-02-29,11914,2019,387499,0.025247722864151,0,1,0,0,0.14895090460777283,0.14895090460777283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0,0,0,90,MC,Chelsea,Tottenham,2,1,2020-02-22,11906,2019,387132,0.14068268239498138,0,2,0,0,0.21425719559192657,0.19249826669692993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0,0,0,90,MC,Chelsea,Manchester United,0,2,2020-02-17,11896,2019,387077,0.023380545899271965,0,1,0,0,0.3353182375431061,0.3353182375431061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0,0,0,76,DMC,Leicester,Chelsea,2,2,2020-02-01,11886,2019,386597,0,0,0,0,0,0.046942826360464096,0.046942826360464096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,2,0.8076335787773132,90,MC,Chelsea,Arsenal,2,2,2020-01-21,11881,2019,386424,0.46433404088020325,0,2,0,0.04646475240588188,0.5283088684082031,0.5055922269821167,1.0,0.0,23.0,0.0,11.7,19.0,238.0,2.0,0.0,4.2,30.2,2020-01-21T20:15:00Z,90.0,6.0,0.0,0.0,0.0,0.0,24.0,0.0,89759.0,2.0,2.0,0.0,5.0,406.0,2383.0,1977.0,47.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
75,0,1,0.0179371889680624,90,MC,Newcastle United,Chelsea,1,0,2020-01-18,11868,2019,386218,0.019095707684755325,0,1,0,0.0179371889680624,1.1450304985046387,1.1079976558685303,0.0,0.0,13.0,0.0,6.7,19.0,221.0,1.0,0.0,2.8,14.6,2020-01-18T15:00:00Z,90.0,15.0,0.0,0.0,0.0,0.0,23.0,0.0,88896.0,1.0,1.0,7.0,2.0,-5558.0,1168.0,6726.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
76,1,1,0.7611688375473022,90,MC,Chelsea,Burnley,3,0,2020-01-11,11858,2019,385909,0,0,0,0,0,0.16862204670906067,0.16862204670906067,0.0,0.0,9.0,0.0,4.1,19.0,214.0,0.0,0.0,1.7,12.4,2020-01-11T12:30:00Z,45.0,7.0,0.0,0.0,0.0,0.0,22.0,0.0,94598.0,1.0,1.0,0.0,1.0,4544.0,7799.0,3255.0,47.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,
77,0,0,0,90,MC,Brighton,Chelsea,1,1,2020-01-01,11845,2019,385486,0,0,0,0,0,0.1392829865217209,0.1392829865217209,0.0,0.0,17.0,1.0,2.2,19.0,201.0,0.0,0.0,1.6,9.8,2020-01-01T20:00:00Z,90.0,12.0,0.0,0.0,0.0,0.0,21.0,0.0,89080.0,0.0,2.0,4.0,3.0,453.0,3309.0,2856.0,47.0,True,0.0,,,,,,,,,,,,,,,,,,,,,,,
78,1,1,0.6010468602180481,57,Sub,Arsenal,Chelsea,1,2,2019-12-29,11833,2019,372888,0,0,0,1,0.6010468602180481,0.04860622063279152,0.04860622063279152,0.0,0.0,9.0,0.0,3.0,19.0,191.0,2.0,0.0,1.1,4.4,2019-12-29T14:00:00Z,90.0,6.0,0.0,0.0,0.0,0.0,20.0,0.0,88229.0,2.0,1.0,4.0,1.0,791.0,2398.0,1607.0,47.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,
79,0,0,0,90,MC,Chelsea,Southampton,0,2,2019-12-26,11825,2019,372456,0.06325661391019821,0,1,0,0,0.12214891612529755,0.05889230594038963,0.0,0.0,10.0,0.0,13.9,19.0,182.0,1.0,0.0,4.0,17.6,2019-12-26T15:00:00Z,90.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,87169.0,1.0,1.0,8.0,1.0,576.0,2179.0,1603.0,47.0,False,1.0,,,,,,,,,,,,,,,,,,,,,,,
